DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20140206,100700,174766.5468750,200000.0000000,200000.0000000,195000.0000000,143636
20140207,100100,174766.5468750,200000.0000000,202000.0000000,197500.0000000,116811
20140207,100200,174766.5468750,200000.0000000,202000.0000000,197500.0000000,116811
20140207,100300,174766.5468750,200000.0000000,202000.0000000,197500.0000000,116811
20140207,100400,174766.5468750,200000.0000000,202000.0000000,197500.0000000,116811
20140207,100500,174766.5468750,200000.0000000,202000.0000000,197500.0000000,116811
20140207,100600,174766.5468750,200000.0000000,202000.0000000,197500.0000000,116811
20140207,100700,174766.5468750,200000.0000000,202000.0000000,197500.0000000,116811
20140210,100100,178261.8750000,204000.0000000,206000.0000000,201000.0000000,182623
20140210,100200,178261.8750000,204000.0000000,206000.0000000,201000.0000000,182623
20140210,100300,178261.8750000,204000.0000000,206000.0000000,201000.0000000,182623
20140210,100400,178261.8750000,204000.0000000,206000.0000000,201000.0000000,182623
20140210,100500,178261.8750000,204000.0000000,206000.0000000,201000.0000000,182623
20140210,100600,178261.8750000,204000.0000000,206000.0000000,201000.0000000,182623
20140210,100700,178261.8750000,204000.0000000,206000.0000000,201000.0000000,182623
20140211,100100,178261.8750000,204000.0000000,211000.0000000,203000.0000000,195472
20140211,100200,178261.8750000,204000.0000000,211000.0000000,203000.0000000,195472
20140211,100300,178261.8750000,204000.0000000,211000.0000000,203000.0000000,195472
20140211,100400,178261.8750000,204000.0000000,211000.0000000,203000.0000000,195472
20140211,100500,178261.8750000,204000.0000000,211000.0000000,203000.0000000,195472
20140211,100600,178261.8750000,204000.0000000,211000.0000000,203000.0000000,195472
20140211,100700,178261.8750000,204000.0000000,211000.0000000,203000.0000000,195472
20140212,100100,182631.0468750,209000.0000000,209000.0000000,197000.0000000,214144
20140212,100200,182631.0468750,209000.0000000,209000.0000000,197000.0000000,214144
20140212,100300,182631.0468750,209000.0000000,209000.0000000,197000.0000000,214144
20140212,100400,182631.0468750,209000.0000000,209000.0000000,197000.0000000,214144
20140212,100500,182631.0468750,209000.0000000,209000.0000000,197000.0000000,214144
20140212,100600,182631.0468750,209000.0000000,209000.0000000,197000.0000000,214144
